time,iphone_info,package,mem,cpu,systemCpu,rxBytes,txBytes,rxTcpBytes,txTcpBytes,fps,level,batterytem
2022-05-18 21:34:18.160, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.758, 9.8, 16.22, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:19.613, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.675, 16.55, 22.3, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:20.986, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.747, 10.0, 15.38, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:22.351, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.482, 10.0, 14.64, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:23.742, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.428, 9.96, 16.09, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:25.067, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.807, 15.99, 21.93, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:26.490, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.487, 9.51, 16.07, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:27.992, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.54, 10.57, 15.09, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:29.416, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.491, 18.99, 24.86, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:31.195, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.86, 10.51, 16.61, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:32.687, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.479, 9.57, 15.96, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:34.081, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.409, 9.73, 15.18, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:35.421, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.4, 14.5, 20.82, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:36.736, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.446, 9.88, 13.99, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:37.993, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.382, 10.32, 14.68, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:39.279, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.429, 11.9, 17.06, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:40.541, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.468, 21.2, 26.58, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:42.227, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.517, 9.46, 17.67, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:43.865, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.468, 10.1, 15.82, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:45.390, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.402, 17.87, 23.82, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:46.985, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.765, 11.55, 17.33, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:48.365, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.411, 10.19, 16.98, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:49.699, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.422, 10.11, 15.73, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:51.056, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.421, 14.95, 20.6, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:52.638, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.508, 11.75, 17.46, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:54.318, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.505, 9.4, 15.1, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:56.011, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.458, 16.72, 23.4, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:57.743, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.842, 10.76, 16.14, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:59.275, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.54, 11.18, 16.45, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:00.818, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.504, 16.84, 22.22, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:02.335, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.851, 10.74, 18.89, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:03.684, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.474, 9.89, 15.59, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:05.027, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.497, 10.34, 15.71, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:06.364, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.445, 14.98, 20.97, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:07.683, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.816, 10.37, 14.94, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:08.892, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.528, 9.29, 14.5, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:10.378, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.539, 9.38, 14.69, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:11.953, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.522, 17.03, 22.83, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:13.338, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.536, 10.61, 15.92, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:14.507, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.524, 12.58, 18.87, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:16.145, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.478, 16.88, 20.62, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:17.812, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.8, 10.51, 18.31, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:35:19.281, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.507, 10.1, 16.16, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
